"FPCA_C" "FPCA_LR" "GNN_C" "GNN_LR"
"1" 0.5692554 4.806057 0.6983544 48.0647462
"2" 0.5692554 4.806057 0.6464425 18.137104
"3" 0.5692554 4.806057 0.6434829 29.8353109
"4" 0.5692554 4.806057 0.6811886 38.5182468
"5" 0.5692554 4.806057 0.6279744 15.1429518
"6" 0.5692554 4.806057 0.7105481 47.3389899
"7" 0.5692554 4.806057 0.5418492 1.3932878
"8" 0.5692554 4.806057 0.5493074 2.2867624
"9" 0.5692554 4.806057 0.7130934 61.0170338
"10" 0.5692554 4.806057 0.6321771 25.6349248
"11" 0.5692554 4.806057 0.5392447 0.9959133
"12" 0.5692554 4.806057 0.652125 57.5184634
"13" 0.5692554 4.806057 0.6986504 48.1549153
"14" 0.5692554 4.806057 0.7033858 54.4645846
"15" 0.5692554 4.806057 0.6932047 47.1032893
"16" 0.5692554 4.806057 0.6091512 12.2578105
"17" 0.5692554 4.806057 0.6806559 39.8513186
"18" 0.5692554 4.806057 0.5426779 1.3549429
"19" 0.5692554 4.806057 0.6133539 13.8956379
"20" 0.5692554 4.806057 0.6953356 42.8194201
